evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
usp2020sskt;2020-09-23T05:31:13.974Z;-36.039;-8.277;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020spmh;2020-09-21T14:53:49.616Z;-40.368;-3.974;0.0;2.4;mR;"Groairas/CE";jroberto;M
usp2020soss;2020-09-21T05:00:37.971Z;-36.309;-5.621;0.0;1.7;mR;"Lajes/RN";jroberto;M
usp2020sljv;2020-09-19T09:06:10.947Z;-41.192;-3.108;0.0;2.7;mR;"Chaval/CE";jroberto;M
usp2020sidy;2020-09-17T14:43:33.774Z;-36.981;-10.140;0.0;1.9;mR;"Canhoba/SE";jroberto;M
usp2020sexs;2020-09-15T20:10:17.874Z;-35.839;-5.497;0.0;2.0;MLv;"Pedra Preta/RN";jroberto;M
usp2020senp;2020-09-15T15:03:55.857Z;-47.900;-22.559;0.0;2.6;mR;"Sao Pedro/SP";jroberto;M
usp2020selm;2020-09-15T13:59:48.597Z;-38.766;-8.419;0.0;2.0;mR;"Carnaubeira da Penha/PE";jroberto;M
usp2020scju;2020-09-14T10:51:52.834Z;-36.051;-8.281;0.0;1.8;mR;"Caruaru/PE";jroberto;M
usp2020scdn;2020-09-14T07:41:27.808Z;-36.051;-8.279;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020ryvz;2020-09-12T12:28:45.787Z;-46.581;-15.323;0.0;2.3;mR;"Buritis/MG";jroberto;M
usp2020rycf;2020-09-12T02:29:07.378Z;-36.092;-5.481;0.0;2.2;mR;"Pedra Preta/RN";jroberto;M
usp2020rwvm;2020-09-11T09:57:06.822Z;-36.055;-8.278;0.0;2.4;mR;"Caruaru/PE";jroberto;M
usp2020rwmq;2020-09-11T05:29:10.906Z;-36.052;-8.278;0.0;2.3;mR;"Caruaru/PE";jroberto;M
usp2020rwmn;2020-09-11T05:25:08.892Z;-36.049;-8.273;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020rvtj;2020-09-10T19:44:43.701Z;-38.789;-7.883;0.0;2.3;mR;"Sao Jose do Belmonte/PE";jroberto;M
usp2020rvqp;2020-09-10T18:20:42.223Z;-55.885;-11.538;0.0;2.6;mR;"Sinop/MT";jroberto;M
usp2020rutd;2020-09-10T06:29:43.874Z;-36.052;-8.277;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020rtlr;2020-09-09T13:35:13.834Z;-36.051;-8.278;0.0;2.5;mR;"Caruaru/PE";jroberto;M
usp2020rsvz;2020-09-09T05:40:12.869Z;-36.032;-8.289;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020rsvx;2020-09-09T05:37:29.836Z;-36.033;-8.291;0.0;1.5;mR;"Caruaru/PE";jroberto;M
usp2020rsra;2020-09-09T03:09:13.766Z;-36.031;-8.286;0.0;1.7;mR;"Caruaru/PE";jroberto;M
usp2020rspi;2020-09-09T02:18:11.900Z;-36.029;-8.287;0.0;1.9;mR;"Caruaru/PE";jroberto;M
usp2020rniy;2020-09-06T05:23:42.651Z;-47.124;-18.785;0.0;2.9;mR;"Patrocinio/MG";jroberto;M
usp2020rngd;2020-09-06T03:58:35.0Z;-36.994;-9.835;0.0;1.8;MLv;"Traipu/AL";jroberto;M
usp2020rmzj;2020-09-06T00:33:24.7Z;-36.986;-9.842;0.0;2.1;mR;"Traipu/AL";jroberto;M
usp2020rmqy;2020-09-05T20:18:21.84Z;-36.982;-9.828;0.0;2.2;mR;"Traipu/AL";jroberto;M
usp2020rkpd;2020-09-04T17:07:20.0Z;-50.882;-29.379;0.0;1.1;MLv;"Gramado/RS";marcelo;M
usp2020rkpa;2020-09-04T17:02:54.687Z;-47.868;-22.043;0.0;2.6;mR;"Sao Carlos/SP";jroberto;M
usp2020rknl;2020-09-04T16:16:10.41Z;-53.220;-29.095;0.0;2.2;mR;"Salto do Jacui/RS";bruno;M
usp2020rjmf;2020-09-04T02:30:48.79Z;-36.984;-9.844;0.0;2.0;mR;"Traipu/AL";jroberto;M
usp2020rhsd;2020-09-03T03:12:50.595Z;-36.005;-5.510;0.0;1.9;mR;"Pedra Preta/RN";jroberto;M
usp2020rhql;2020-09-03T02:21:57.782Z;-36.933;-10.118;0.0;2.1;mR;"Canhoba/SE";jroberto;M
usp2020rgxd;2020-09-02T16:36:33.85Z;-39.606;-13.010;0.0;1.7;mR;"Amargosa/BA";jroberto;M
usp2020rfsg;2020-09-02T01:01:19.990Z;-36.079;-5.507;0.0;2.0;MLv;"Pedra Preta/RN";jroberto;M
usp2020rerp;2020-09-01T11:32:44.159Z;-36.959;-10.236;0.0;2.4;mR;"Aquidaba/SE";jroberto;M
usp2020rent;2020-09-01T09:36:28.912Z;-39.591;-13.004;0.0;2.5;mR;"Amargosa/BA";jroberto;M
usp2020rehr;2020-09-01T06:31:36.861Z;-39.599;-13.005;0.0;1.8;mR;"Amargosa/BA";jroberto;M
usp2020rdht;2020-08-31T17:26:20.140Z;-39.991;-3.449;0.0;2.0;mR;"Santana de Acarau/CE";jroberto;M
usp2020rded;2020-08-31T15:36:52.19Z;-40.708;-3.561;0.0;2.7;mR;"Coreau/CE";jroberto;M
usp2020rcoa;2020-08-31T07:27:28.916Z;-36.067;-5.499;0.0;1.8;mR;"Pedra Preta/RN";jroberto;M
usp2020rcmh;2020-08-31T06:41:48.723Z;-39.575;-13.009;0.0;3.5;mR;"Amargosa/BA";jroberto;M
usp2020rbts;2020-08-30T21:11:44.835Z;-39.566;-13.013;0.0;2.3;mR;"Amargosa/BA";jroberto;M
usp2020rbtq;2020-08-30T21:09:18.765Z;-39.578;-13.005;0.0;1.6;mR;"Amargosa/BA";jroberto;M
usp2020rbew;2020-08-30T13:41:43.0Z;-39.596;-13.008;0.0;1.6;mR;"Amargosa/BA";jroberto;M
usp2020rbcf;2020-08-30T12:21:48.871Z;-39.596;-13.007;0.0;1.8;mR;"Amargosa/BA";jroberto;M
usp2020rbbw;2020-08-30T12:11:42.808Z;-39.602;-13.005;0.0;2.2;mR;"Amargosa/BA";jroberto;M
